topic,year,papers_published
Neurological and metabolic disorders,2003,1
Neurological Complications and Syndromes,2003,1
Network Traffic and Congestion Control,2003,1
Education and Work Dynamics,2003,1
Magnetic properties of thin films,2003,1
Surface and Thin Film Phenomena,2003,1
Global Cancer Incidence and Screening,2003,1
Industrial Automation and Control Systems,2003,1
Fractional Differential Equations Solutions,2003,1
Engineering and Technology Innovations,2003,1
Quantum and Classical Electrodynamics,2003,1
Economic Growth and Productivity,2003,1
Fiscal Policy and Economic Growth,2003,1
Economic Growth and Development,2003,1
Action Observation and Synchronization,2003,1
Fractal and DNA sequence analysis,2003,1
Wireless Signal Modulation Classification,2003,1
Gaze Tracking and Assistive Technology,2003,1
Structural Behavior of Reinforced Concrete,2003,1
Seismic Performance and Analysis,2003,1
Various Chemistry Research Topics,2003,1
Statistical Mechanics and Entropy,2003,1
Advanced Thermodynamics and Statistical Mechanics,2003,1
Gait Recognition and Analysis,2003,1
Water Systems and Optimization,2003,1
Groundwater flow and contamination studies,2003,1
Web Applications and Data Management,2003,1
Software Engineering and Design Patterns,2003,1
Intelligent Tutoring Systems and Adaptive Learning,2003,1
Blood donation and transfusion practices,2003,1
Blood groups and transfusion,2003,1
Blood transfusion and management,2003,1
Multi-Agent Systems and Negotiation,2003,1
Numerical Methods and Algorithms,2003,1
Stability and Controllability of Differential Equations,2003,1
"Chaos, Complexity, and Education",2003,1
Electrowetting and Microfluidic Technologies,2003,1
Advanced MEMS and NEMS Technologies,2003,1
Neurobiology and Insect Physiology Research,2003,1
Innovation and Knowledge Management,2003,1
Global Trade and Competitiveness,2003,1
Model-Driven Software Engineering Techniques,2003,1
Artificial Immune Systems Applications,2003,1
Meteorological Phenomena and Simulations,2003,1
Aerodynamics and Acoustics in Jet Flows,2003,1
Particle Detector Development and Performance,2003,1
Product Development and Customization,2003,1
Global Educational Policies and Reforms,2003,1
Global Education and Multiculturalism,2003,1
Intergenerational and Educational Inequality Studies,2003,1
Human Resource Development and Performance Evaluation,2003,1
Management and Organizational Studies,2003,1
Analytical Chemistry and Sensors,2003,1
Force Microscopy Techniques and Applications,2003,1
Diatoms and Algae Research,2003,1
Coastal and Marine Management,2003,1
Environmental Engineering and Cultural Studies,2003,1
High voltage insulation and dielectric phenomena,2003,1
Power Transformer Diagnostics and Insulation,2003,1
Markov Chains and Monte Carlo Methods,2003,1
Advanced Queuing Theory Analysis,2003,1
Impact of Light on Environment and Health,2003,1
Quantum Computing Algorithms and Architecture,2003,1
Data Visualization and Analytics,2003,1
Open Source Software Innovations,2003,1
Information Systems Theories and Implementation,2003,1
"Intelligence, Security, War Strategy",2003,1
Eastern European Communism and Reforms,2003,1
Nuclear Issues and Defense,2003,1
Usability and User Interface Design,2003,1
Geographic Information Systems Studies,2003,1
Glaucoma and retinal disorders,2003,1
Electrical Contact Performance and Analysis,2003,1
Electrostatic Discharge in Electronics,2003,1
Educational Strategies and Epistemologies,2003,1
Ideological and Political Education,2003,1
Creativity in Education and Neuroscience,2003,1
Advanced Neural Network Applications,2003,1
Antenna Design and Optimization,2003,1
Educational Innovations and Challenges,2003,1
Educational Methods and Teacher Development,2003,1
Education and Professional Development,2003,1
"Public Administration, ICT, and Policy Development",2003,1
Diverse Aspects of Tourism Research,2003,1
Caching and Content Delivery,2003,1
Experimental Learning in Engineering,2003,1
Cloud Computing and Remote Desktop Technologies,2003,1
"Folklore, Mythology, and Literature Studies",2003,1
Optical and Acousto-Optic Technologies,2003,1
Metallurgy and Material Science,2003,1
Extenics and Innovation Methods,2003,1
Radio Astronomy Observations and Technology,2003,1
GNSS positioning and interference,2003,1
Urban and Rural Development Challenges,2003,1
Collaborative and Sustainable Housing Initiatives,2003,1
Radiation Effects in Electronics,2003,1
"Graphite, nuclear technology, radiation studies",2003,1
Semiconductor materials and devices,2003,1
Advanced Clustering Algorithms Research,2003,1
Wastewater Treatment and Nitrogen Removal,2003,1
Wireless Sensor Networks for Data Analysis,2003,1
Environmental and Sediment Control,2003,1
Optimization and Variational Analysis,2003,1
Biometric Identification and Security,2003,1
Earthquake Detection and Analysis,2003,1
High-pressure geophysics and materials,2003,1
earthquake and tectonic studies,2003,1
Cognitive Computing and Networks,2003,1
Advanced Research in Science and Engineering,2003,1
Analog and Mixed-Signal Circuit Design,2003,1
Aesthetic Perception and Analysis,2003,1
Olfactory and Sensory Function Studies,2003,1
Theoretical and Computational Physics,2003,1
Complex Systems and Time Series Analysis,2003,1
Domain Adaptation and Few-Shot Learning,2003,1
Metallurgy and Material Forming,2003,1
Metal Forming Simulation Techniques,2003,1
Geochemistry and Geologic Mapping,2003,1
Innovation in Digital Healthcare Systems,2003,1
Management and Organizational Practices,2003,1
Solar Radiation and Photovoltaics,2003,1
Atmospheric Ozone and Climate,2003,1
Context-Aware Activity Recognition Systems,2003,1
European Union Policy and Governance,2003,1
High-Voltage Power Transmission Systems,2003,1
Social Robot Interaction and HRI,2003,1
Humor Studies and Applications,2003,1
Byzantine Studies and History,2003,1
Advanced Algebra and Geometry,2003,1
Advanced Banach Space Theory,2003,1
Advanced Harmonic Analysis Research,2003,1
Radiology practices and education,2003,1
Engineering Education and Curriculum Development,2003,1
Global Health Workforce Issues,2003,1
Neurological Disorders and Treatments,2003,1
Migraine and Headache Studies,2003,1
Recommender Systems and Techniques,2003,1
Viral Infections and Vectors,2003,1
Advanced Algebra and Logic,2003,1
Reproductive Health and Technologies,2003,1
Organ Donation and Transplantation,2003,1
Cryptographic Implementations and Security,2003,1
Ectopic Pregnancy Diagnosis and Management,2003,1
Student Assessment and Feedback,2003,1
Lexicography and Language Studies,2003,1
Linguistics and language evolution,2003,1
Environmental and Agricultural Sciences,2003,1
Advanced Vision and Imaging,2004,34
Advanced Computational Techniques and Applications,2004,23
Image Retrieval and Classification Techniques,2004,22
Advanced Image and Video Retrieval Techniques,2004,20
Image Processing Techniques and Applications,2004,18
Neural Networks and Applications,2004,17
Computer Graphics and Visualization Techniques,2004,16
Natural Language Processing Techniques,2004,16
Robotics and Sensor-Based Localization,2004,15
Topic Modeling,2004,14
Advanced Algorithms and Applications,2004,14
Image and Signal Denoising Methods,2004,13
Video Surveillance and Tracking Methods,2004,13
Blind Source Separation Techniques,2004,13
Medical Image Segmentation Techniques,2004,13
Coding theory and cryptography,2004,13
Semantic Web and Ontologies,2004,13
Advanced Sensor and Control Systems,2004,13
Chaos-based Image/Signal Encryption,2004,13
Advanced Data Compression Techniques,2004,12
Video Analysis and Summarization,2004,12
Advanced Steganography and Watermarking Techniques,2004,11
Face and Expression Recognition,2004,11
Algorithms and Data Compression,2004,10
3D Shape Modeling and Analysis,2004,10
Advanced Image Processing Techniques,2004,10
Network Security and Intrusion Detection,2004,9
Advanced Decision-Making Techniques,2004,9
Advanced Database Systems and Queries,2004,9
Video Coding and Compression Technologies,2004,9
Speech and Audio Processing,2004,9
Human Motion and Animation,2004,9
Infrared Target Detection Methodologies,2004,8
Cryptography and Data Security,2004,8
Cryptographic Implementations and Security,2004,8
Image and Video Quality Assessment,2004,8
Data Mining Algorithms and Applications,2004,8
Remote Sensing and Land Use,2004,8
Face recognition and analysis,2004,7
Evolutionary Algorithms and Applications,2004,7
Text and Document Classification Technologies,2004,7
Service-Oriented Architecture and Web Services,2004,7
Data Management and Algorithms,2004,7
Robotic Path Planning Algorithms,2004,7
Web Data Mining and Analysis,2004,7
Machine Learning and Data Classification,2004,6
Cryptography and Residue Arithmetic,2004,6
Metaheuristic Optimization Algorithms Research,2004,6
Chinese history and philosophy,2004,6
Human Pose and Action Recognition,2004,6
Image Processing and 3D Reconstruction,2004,6
Music and Audio Processing,2004,6
Speech and dialogue systems,2004,6
Speech Recognition and Synthesis,2004,6
Parallel Computing and Optimization Techniques,2004,6
Generative Adversarial Networks and Image Synthesis,2004,5
Advanced Multi-Objective Optimization Algorithms,2004,5
Lexicography and Language Studies,2004,5
graph theory and CDMA systems,2004,5
Imbalanced Data Classification Techniques,2004,5
Embedded Systems and FPGA Design,2004,5
Educational Technology and Assessment,2004,5
Interactive and Immersive Displays,2004,5
Evaluation Methods in Various Fields,2004,5
Digital Media Forensic Detection,2004,5
Reinforcement Learning in Robotics,2004,5
CCD and CMOS Imaging Sensors,2004,5
Software Engineering Research,2004,5
Advanced Measurement and Detection Methods,2004,5
Scheduling and Optimization Algorithms,2004,5
Rough Sets and Fuzzy Logic,2004,5
Target Tracking and Data Fusion in Sensor Networks,2004,5
Simulation and Modeling Applications,2004,5
Satellite Image Processing and Photogrammetry,2004,4
Artificial Intelligence in Games,2004,4
Underwater Vehicles and Communication Systems,2004,4
Embedded Systems Design Techniques,2004,4
Color Science and Applications,2004,4
Remote-Sensing Image Classification,2004,4
Software Engineering Techniques and Practices,2004,4
Advanced Data Storage Technologies,2004,4
Image and Object Detection Techniques,2004,4
Advanced Malware Detection Techniques,2004,4
VLSI and Analog Circuit Testing,2004,4
Software Reliability and Analysis Research,2004,4
Regional Economic and Spatial Analysis,2004,4
Cognitive Science and Mapping,2004,4
Fuzzy Logic and Control Systems,2004,4
Industrial Technology and Control Systems,2004,4
Internet Traffic Analysis and Secure E-voting,2004,4
Machine Learning and Algorithms,2004,4
AI-based Problem Solving and Planning,2004,4
Optical Systems and Laser Technology,2004,3
Evaluation and Optimization Models,2004,3
Elasticity and Wave Propagation,2004,3
Engineering and Test Systems,2004,3
Peer-to-Peer Network Technologies,2004,3
Digital Rights Management and Security,2004,3
Multimedia Communication and Technology,2004,3
Usability and User Interface Design,2004,3
Network Traffic and Congestion Control,2004,3
Spectroscopy and Chemometric Analyses,2004,3
Statistical Methods and Inference,2004,3
Matrix Theory and Algorithms,2004,3
Architecture and Art History Studies,2004,3
Visual perception and processing mechanisms,2004,3
Digital Filter Design and Implementation,2004,3
Indoor and Outdoor Localization Technologies,2004,3
Cognitive Computing and Networks,2004,3
Firm Innovation and Growth,2004,3
Advanced Statistical Methods and Models,2004,3
Economic Growth and Productivity,2004,3
Information Retrieval and Search Behavior,2004,3
Autonomous Vehicle Technology and Safety,2004,3
Advanced Control Systems Optimization,2004,3
Security in Wireless Sensor Networks,2004,3
Error Correcting Code Techniques,2004,3
Real-time simulation and control systems,2004,3
Interconnection Networks and Systems,2004,3
Information Technology Governance and Strategy,2004,3
Outsourcing and Supply Chain Management,2004,3
Neural dynamics and brain function,2004,3
Higher Education and Teaching Methods,2004,3
Business Process Modeling and Analysis,2004,3
Quantum Information and Cryptography,2004,3
Medical Imaging Techniques and Applications,2004,3
Educational Reforms and Innovations,2004,3
Wireless Communication Networks Research,2004,3
Vehicle License Plate Recognition,2004,3
Advanced Manufacturing and Logistics Optimization,2004,3
Advanced Numerical Analysis Techniques,2004,3
Robotic Mechanisms and Dynamics,2004,3
Distributed systems and fault tolerance,2004,3
Manufacturing Process and Optimization,2004,3
Scientific Computing and Data Management,2004,3
Smart Agriculture and AI,2004,3
Human-Automation Interaction and Safety,2004,3
Data Stream Mining Techniques,2004,3
"Logic, Reasoning, and Knowledge",2004,3
Distributed Control Multi-Agent Systems,2004,3
Structural Health Monitoring Techniques,2004,3
Software Testing and Debugging Techniques,2004,3
Translation Studies and Practices,2004,3
Gait Recognition and Analysis,2004,3
Security and Verification in Computing,2004,3
Advanced Fiber Optic Sensors,2004,3
Quantum Computing Algorithms and Architecture,2004,2
Advanced Wireless Communication Techniques,2004,2
Bluetooth and Wireless Communication Technologies,2004,2
Advanced Software Engineering Methodologies,2004,2
Digital Radiography and Breast Imaging,2004,2
Digital Platforms and Economics,2004,2
Regional Development and Policy,2004,2
Iterative Learning Control Systems,2004,2
Process Optimization and Integration,2004,2
Image Enhancement Techniques,2004,2
Quantum Mechanics and Applications,2004,2
Near-Field Optical Microscopy,2004,2
Linguistics and language evolution,2004,2
Anomaly Detection Techniques and Applications,2004,2
Industrial Vision Systems and Defect Detection,2004,2
EFL/ESL Teaching and Learning,2004,2
Second Language Learning and Teaching,2004,2
Software System Performance and Reliability,2004,2
Augmented Reality Applications,2004,2
Advancements in PLL and VCO Technologies,2004,2
Mathematics and Applications,2004,2
"Language, Discourse, Communication Strategies",2004,2
"Swearing, Euphemism, Multilingualism",2004,2
Advanced Electrical Measurement Techniques,2004,2
Blasting Impact and Analysis,2004,2
Mathematical Analysis and Transform Methods,2004,2
Nuclear Physics and Applications,2004,2
Corporate Finance and Governance,2004,2
Cooperative Communication and Network Coding,2004,2
Computational Geometry and Mesh Generation,2004,2
Advanced Surface Polishing Techniques,2004,2
AI in cancer detection,2004,2
South Asian Studies and Conflicts,2004,2
Caching and Content Delivery,2004,2
Energy and Environmental Systems,2004,2
Advanced Wireless Network Optimization,2004,2
Spatial Cognition and Navigation,2004,2
Action Observation and Synchronization,2004,2
Technology and Security Systems,2004,2
"Logic, programming, and type systems",2004,2
Formal Methods in Verification,2004,2
Time Series Analysis and Forecasting,2004,2
"Language, Metaphor, and Cognition",2004,2
Transportation Planning and Optimization,2004,2
Analog and Mixed-Signal Circuit Design,2004,2
Geoscience and Mining Technology,2004,2
Sparse and Compressive Sensing Techniques,2004,2
Advanced Text Analysis Techniques,2004,2
Data Visualization and Analytics,2004,2
Cellular Automata and Applications,2004,2
Engineering Education and Curriculum Development,2004,2
Neurobiology of Language and Bilingualism,2004,2
Probability and Statistical Research,2004,2
Innovative Teaching and Learning Methods,2004,2
Dyeing and Modifying Textile Fibers,2004,2
Vehicle Dynamics and Control Systems,2004,2
Digital Holography and Microscopy,2004,2
Innovative Educational Techniques,2004,2
Rural development and sustainability,2004,2
Renaissance and Early Modern Studies,2004,2
Historical Art and Architecture Studies,2004,2
Calibration and Measurement Techniques,2004,2
Chaos control and synchronization,2004,2
Text Readability and Simplification,2004,2
Auction Theory and Applications,2004,2
Digital Media and Visual Art,2004,2
Multi-Agent Systems and Negotiation,2004,2
Adversarial Robustness in Machine Learning,2004,2
Bayesian Modeling and Causal Inference,2004,2
Explainable Artificial Intelligence (XAI),2004,2
Optical Network Technologies,2004,2
3D Surveying and Cultural Heritage,2004,2
Tactile and Sensory Interactions,2004,2
Algebraic Geometry and Number Theory,2004,2
VLSI and FPGA Design Techniques,2004,2
Brain Tumor Detection and Classification,2004,2
Digital Image Processing Techniques,2004,2
Impact of Technology on Adolescents,2004,2
Magneto-Optical Properties and Applications,2004,2
Markov Chains and Monte Carlo Methods,2004,2
Distributed and Parallel Computing Systems,2004,2
Remote Sensing in Agriculture,2004,2
Solar Radiation and Photovoltaics,2004,2
Building Energy and Comfort Optimization,2004,2
Neural and Behavioral Psychology Studies,2004,2
Advanced Optical Imaging Technologies,2004,2
Islamic Finance and Banking Studies,2004,2
Numerical Methods and Algorithms,2004,2
Color perception and design,2004,2
Advanced Authentication Protocols Security,2004,2
Graph Labeling and Dimension Problems,2004,2
Traditional Chinese Medicine Studies,2004,2
Mobile Agent-Based Network Management,2004,2
Child and Animal Learning Development,2004,2
Neural Networks Stability and Synchronization,2004,2
Marine and fisheries research,2004,2
Marine and coastal ecosystems,2004,2
Intelligent Tutoring Systems and Adaptive Learning,2004,2
Supply Chain and Inventory Management,2004,1
Organizational Management and Leadership,2004,1
Gambling Behavior and Treatments,2004,1
Inertial Sensor and Navigation,2004,1
Language Development and Disorders,2004,1
Hearing Impairment and Communication,2004,1
Vehicle Routing Optimization Methods,2004,1
Constraint Satisfaction and Optimization,2004,1
Hip disorders and treatments,2004,1
Higher Education Learning Practices,2004,1
Educational and Psychological Assessments,2004,1
Clinical Reasoning and Diagnostic Skills,2004,1
Heat Transfer Mechanisms,2004,1
Fluid Dynamics and Turbulent Flows,2004,1
Plant Water Relations and Carbon Dynamics,2004,1
Supramolecular Chemistry and Complexes,2004,1
Vanadium and Halogenation Chemistry,2004,1
Asymmetric Synthesis and Catalysis,2004,1
Transplantation: Methods and Outcomes,2004,1
Renal Transplantation Outcomes and Treatments,2004,1
Mechanical Circulatory Support Devices,2004,1
Catalysis for Biomass Conversion,2004,1
Biofuel production and bioconversion,2004,1
Advanced Control Systems Design,2004,1
Adaptive Control of Nonlinear Systems,2004,1
Subtitles and Audiovisual Media,2004,1
Educational Technology and Pedagogy,2004,1
linguistics and terminology studies,2004,1
Robot Manipulation and Learning,2004,1
Robotics and Automated Systems,2004,1
Flow Measurement and Analysis,2004,1
Microwave Imaging and Scattering Analysis,2004,1
Electrical and Bioimpedance Tomography,2004,1
Photonic Crystals and Applications,2004,1
Photonic and Optical Devices,2004,1
Silicon Nanostructures and Photoluminescence,2004,1
Education Methods and Practices,2004,1
Complex Network Analysis Techniques,2004,1
Opinion Dynamics and Social Influence,2004,1
South Asian Studies and Diaspora,2004,1
Southeast Asian Sociopolitical Studies,2004,1
Recommender Systems and Techniques,2004,1
Web Applications and Data Management,2004,1
Ergonomics and Musculoskeletal Disorders,2004,1
Power Systems and Technologies,2004,1
Merger and Competition Analysis,2004,1
Regional Economics and Spatial Analysis,2004,1
Advanced machining processes and optimization,2004,1
Metal and Thin Film Mechanics,2004,1
Material Properties and Failure Mechanisms,2004,1
Corrosion Behavior and Inhibition,2004,1
Conflict of Laws and Jurisdiction,2004,1
Multicultural Socio-Legal Studies,2004,1
Evolving Legal Systems and Governance,2004,1
Innovation Diffusion and Forecasting,2004,1
Green IT and Sustainability,2004,1
Advanced Neural Network Applications,2004,1
Diabetic Foot Ulcer Assessment and Management,2004,1
Innovation and Knowledge Management,2004,1
Business Strategy and Innovation,2004,1
Patient Satisfaction in Healthcare,2004,1
Patient-Provider Communication in Healthcare,2004,1
"Health Systems, Economic Evaluations, Quality of Life",2004,1
Integrated Circuits and Semiconductor Failure Analysis,2004,1
Force Microscopy Techniques and Applications,2004,1
Eastern European Communism and Reforms,2004,1
Russia and Soviet political economy,2004,1
Taxation and Legal Issues,2004,1
International Law and Aviation,2004,1
"Law, logistics, and international trade",2004,1
Material Dynamics and Properties,2004,1
Granular flow and fluidized beds,2004,1
Particle Dynamics in Fluid Flows,2004,1
Dispute Resolution and Class Actions,2004,1
Ombudsman and Human Rights,2004,1
Psychological Well-being and Life Satisfaction,2004,1
Psychological and Temporal Perspectives Research,2004,1
"Optimism, Hope, and Well-being",2004,1
Quantum-Dot Cellular Automata,2004,1
Vestibular and auditory disorders,2004,1
Migraine and Headache Studies,2004,1
Sympathectomy and Hyperhidrosis Treatments,2004,1
Pigment Synthesis and Properties,2004,1
Recycling and utilization of industrial and municipal waste in materials production,2004,1
Emotion and Mood Recognition,2004,1
Multilingual Education and Policy,2004,1
Advanced Aircraft Design and Technologies,2004,1
"Adsorption, diffusion, and thermodynamic properties of materials",2004,1
E-commerce and Technology Innovations,2004,1
Service and Product Innovation,2004,1
"Health, Technology, Consumer Behavior",2004,1
Virtual Reality Applications and Impacts,2004,1
Genomics and Phylogenetic Studies,2004,1
Machine Learning in Bioinformatics,2004,1
Complexity and Algorithms in Graphs,2004,1
Advanced Biosensing Techniques and Applications,2004,1
Monoclonal and Polyclonal Antibodies Research,2004,1
HER2/EGFR in Cancer Research,2004,1
Advanced Optical Network Technologies,2004,1
Software-Defined Networks and 5G,2004,1
Gene expression and cancer classification,2004,1
Breast Cancer Treatment Studies,2004,1
Safety and Risk Management,2004,1
Power System Optimization and Stability,2004,1
Control and Stability of Dynamical Systems,2004,1
Sensorless Control of Electric Motors,2004,1
Finite Group Theory Research,2004,1
Spectroscopy and Quantum Chemical Studies,2004,1
Quantum optics and atomic interactions,2004,1
Analytical Chemistry and Sensors,2004,1
Artificial Immune Systems Applications,2004,1
Digital Games and Media,2004,1
Digital Marketing and Social Media,2004,1
Power Quality and Harmonics,2004,1
"Computability, Logic, AI Algorithms",2004,1
Mathematical and Theoretical Analysis,2004,1
Coal and Coke Industries Research,2004,1
Mining Techniques and Economics,2004,1
Industrial Engineering and Technologies,2004,1
Field-Flow Fractionation Techniques,2004,1
Particle accelerators and beam dynamics,2004,1
"Banking stability, regulation, efficiency",2004,1
Wireless Networks and Protocols,2004,1
Mobile Ad Hoc Networks,2004,1
Oil and Gas Production Techniques,2004,1
Public Policy and Administration Research,2004,1
Social Capital and Networks,2004,1
Political Systems and Governance,2004,1
Genomics and Chromatin Dynamics,2004,1
Silk-based biomaterials and applications,2004,1
Cell Adhesion Molecules Research,2004,1
Differential Equations and Boundary Problems,2004,1
Material Science and Thermodynamics,2004,1
Welding Techniques and Residual Stresses,2004,1
Sensor Technology and Measurement Systems,2004,1
Wireless Signal Modulation Classification,2004,1
South Asian Cinema and Culture,2004,1
EEG and Brain-Computer Interfaces,2004,1
Historical Linguistics and Language Studies,2004,1
Advanced Statistical Process Monitoring,2004,1
Optical measurement and interference techniques,2004,1
Second Language Acquisition and Learning,2004,1
Edcuational Technology Systems,2004,1
Multimedia Learning Systems,2004,1
Decision Support System Applications,2004,1
Stability and Control of Uncertain Systems,2004,1
Electromagnetic Compatibility and Noise Suppression,2004,1
Advanced Topics in Algebra,2004,1
Architecture and Cultural Influences,2004,1
"Architecture, Modernity, and Design",2004,1
Nuclear reactor physics and engineering,2004,1
Nuclear physics research studies,2004,1
Ideological and Political Education,2004,1
Corruption and Economic Development,2004,1
Electoral Systems and Political Participation,2004,1
Fiscal Policies and Political Economy,2004,1
Evolutionary Game Theory and Cooperation,2004,1
Complex Systems and Decision Making,2004,1
Ecosystem dynamics and resilience,2004,1
Spam and Phishing Detection,2004,1
Information and Cyber Security,2004,1
Advanced Electron Microscopy Techniques and Applications,2004,1
Power Systems and Renewable Energy,2004,1
Power System Reliability and Maintenance,2004,1
High-Voltage Power Transmission Systems,2004,1
Context-Aware Activity Recognition Systems,2004,1
Innovative Human-Technology Interaction,2004,1
Traditional Chinese Medicine Analysis,2004,1
Optimal Experimental Design Methods,2004,1
Big Data and Business Intelligence,2004,1
Complementary and Alternative Medicine Studies,2004,1
Healthcare and Venom Research,2004,1
Acupuncture Treatment Research Studies,2004,1
Aquatic Ecosystems and Phytoplankton Dynamics,2004,1
Asian Culture and Media Studies,2004,1
Complex Systems and Time Series Analysis,2004,1
Civil and Geotechnical Engineering Research,2004,1
Digital and Traditional Archives Management,2004,1
DNA and Biological Computing,2004,1
Face Recognition and Perception,2004,1
Spatial Neglect and Hemispheric Dysfunction,2004,1
Mental Health and Psychiatry,2004,1
Sport Psychology and Performance,2004,1
Motor Control and Adaptation,2004,1
Electricity Theft Detection Techniques,2004,1
Advanced Adaptive Filtering Techniques,2004,1
Research studies in Vietnam,2004,1
Banking Systems and Strategies,2004,1
Advanced Photonic Communication Systems,2004,1
Advanced Frequency and Time Standards,2004,1
Terahertz technology and applications,2004,1
Geomechanics and Mining Engineering,2004,1
Magnetic Field Sensors Techniques,2004,1
Non-Destructive Testing Techniques,2004,1
Gas Sensing Nanomaterials and Sensors,2004,1
Mobile Learning in Education,2004,1
ICT in Developing Communities,2004,1
Education and Technology Integration,2004,1
ERP Systems Implementation and Impact,2004,1
Globalization and Cultural Identity,2004,1
Memory and Neural Mechanisms,2004,1
Embodied and Extended Cognition,2004,1
Cybernetics and Technology in Society,2004,1
Big Data Technologies and Applications,2004,1
Global trade and economics,2004,1
Global Trade and Competitiveness,2004,1
Legal principles and applications,2004,1
"Law, Economics, and Judicial Systems",2004,1
Property Rights and Legal Doctrine,2004,1
Assembly Line Balancing Optimization,2004,1
Operations Management Techniques,2004,1
Intellectual Property Law,2004,1
Copyright and Intellectual Property,2004,1
Stock Market Forecasting Methods,2004,1
Automated Road and Building Extraction,2004,1
Image and Video Stabilization,2004,1
Educational Games and Gamification,2004,1
"Education, Safety, and Science Studies",2004,1
Diverse Approaches in Healthcare and Education Studies,2004,1
Education and Learning Interventions,2004,1
Environmental and Agricultural Sciences,2004,1
Cloud Computing and Resource Management,2004,1
American Environmental and Regional History,2004,1
Robotic Locomotion and Control,2004,1
Prosthetics and Rehabilitation Robotics,2004,1
Embedded Systems and FPGA Applications,2004,1
Teleoperation and Haptic Systems,2004,1
Biomedical Text Mining and Ontologies,2004,1
Dementia and Cognitive Impairment Research,2004,1
Optimization and Search Problems,2004,1
Optimization and Packing Problems,2004,1
Gaussian Processes and Bayesian Inference,2004,1
Statistical Mechanics and Entropy,2004,1
Blockchain Technology Applications and Security,2004,1
Privacy-Preserving Technologies in Data,2004,1
Computational Physics and Python Applications,2004,1
Control and Dynamics of Mobile Robots,2004,1
Psychotherapy Techniques and Applications,2004,1
Social Representations and Identity,2004,1
Narrative Theory and Analysis,2004,1
Advanced Topology and Set Theory,2004,1
Fuzzy and Soft Set Theory,2004,1
Advanced Algebra and Logic,2004,1
Visual Attention and Saliency Detection,2004,1
User Authentication and Security Systems,2004,1
Behavioral Health and Interventions,2004,1
Social and Intergroup Psychology,2004,1
Attachment and Relationship Dynamics,2004,1
Physical Education and Pedagogy,2004,1
Geological Modeling and Analysis,2004,1
Hydraulic Fracturing and Reservoir Analysis,2004,1
Drilling and Well Engineering,2004,1
GNSS positioning and interference,2004,1
Meteorological Phenomena and Simulations,2004,1
Atmospheric Ozone and Climate,2004,1
Media Studies and Communication,2004,1
Advanced Antenna and Metasurface Technologies,2004,1
Antenna Design and Analysis,2004,1
Microwave Engineering and Waveguides,2004,1
Neural Networks and Reservoir Computing,2004,1
Community Health and Development,2004,1
Evaluation and Performance Assessment,2004,1
Health Policy Implementation Science,2004,1
Synthetic Aperture Radar (SAR) Applications and Techniques,2004,1
Advanced SAR Imaging Techniques,2004,1
Geophysics and Gravity Measurements,2004,1
Advanced Computational Techniques in Science and Engineering,2004,1
Cybersecurity and Information Systems,2004,1
Policing Practices and Perceptions,2004,1
Education and Work Dynamics,2004,1
Global Education and Multiculturalism,2004,1
Global Educational Reforms and Inequalities,2004,1
Animal Vocal Communication and Behavior,2004,1
Primate Behavior and Ecology,2004,1
Evacuation and Crowd Dynamics,2004,1
Impact of Light on Environment and Health,2004,1
Computer Science and Engineering,2004,1
Guidance and Control Systems,2004,1
Air Traffic Management and Optimization,2004,1
Aerospace and Aviation Technology,2004,1
Marine and Coastal Research,2004,1
Maritime Navigation and Safety,2004,1
"Intelligence, Security, War Strategy",2004,1
Geometric and Algebraic Topology,2004,1
Music Technology and Sound Studies,2004,1
Advanced MRI Techniques and Applications,2004,1
Laser and Thermal Forming Techniques,2004,1
Traffic Prediction and Management Techniques,2004,1
Traffic control and management,2004,1
Model-Driven Software Engineering Techniques,2004,1
Petri Nets in System Modeling,2004,1
Peak-to-Average Power Ratio Reduction Techniques,2004,1
Multiple-Input Multiple-Output Orthogonal Frequency Division Multiplexing,2004,1
Efficient Power Control in Wireless Networks,2004,1
Smart Grid Security and Resilience,2004,1
Art Education and Development,2004,1
Diversity and Impact of Dance,2004,1
Modeling and Simulation Systems,2004,1
Historical Geography and Cartography,2004,1
History and Developments in Astronomy,2004,1
Advancements in Semiconductor Devices and Circuit Design,2004,1
Radio Frequency Integrated Circuit Design,2004,1
Electrostatic Discharge in Electronics,2004,1
Pharmacy and Medical Practices,2004,1
Gastric Cancer Management and Outcomes,2004,1
Gaze Tracking and Assistive Technology,2004,1
Jury Decision Making Processes,2004,1
Cancer Risks and Factors,2004,1
Growth Hormone and Insulin-like Growth Factors,2004,1
"Metabolism, Diabetes, and Cancer",2004,1
Agricultural Innovations and Practices,2004,1
Cooperative Studies and Economics,2004,1
Diverse Educational Innovations Studies,2004,1
Game Theory and Applications,2004,1
Occupational Health and Safety Research,2004,1
Safety Warnings and Signage,2004,1
Telemedicine and Telehealth Implementation,2004,1
Ion channel regulation and function,2004,1
Connexins and lens biology,2004,1
Nicotinic Acetylcholine Receptors Study,2004,1
Handwritten Text Recognition Techniques,2004,1
Electric and Hybrid Vehicle Technologies,2004,1
History and Theory of Mathematics,2004,1
Wireless Communication Security Techniques,2004,1
Parental Involvement in Education,2004,1
Collaborative Teaching and Inclusion,2004,1
Urbanization and City Planning,2004,1
Public Procurement and Policy,2004,1
Innovation Policy and R&D,2004,1
